OutPut_ID;longName;BusinessKey;OutcomeCode;ShortName;Text Decription;TextDescription
OP1.1;Reduce by half the proportion of people living on less than a dollar a day ;OP1.1;OM1;Reduce by half the proportion of people living on less than a dollar a day;Reduce by half the proportion of people living on less than a dollar a day;Reduce by half the proportion of people living on less than a dollar a day
OP1.2;Achieve full and productive employment and decent work for all, including women and young people ;OP1.2;OM1;Achieve full and productive employment and decent work for all, including women and young people ;Achieve full and productive employment and decent work for all, including women and young people ;Achieve full and productive employment and decent work for all, including women and young people 
OP1.3;Reduce by half the proportion of people who suffer from hunger ;OP1.3;OM1;Reduce by half the proportion of people who suffer from hunger ;Reduce by half the proportion of people who suffer from hunger ;Reduce by half the proportion of people who suffer from hunger 
OP1.4;Increase access to fresh water & sanitation;OP1.4;OM1;Increase access to fresh water & sanitation;Increase access to fresh water & sanitation;Increase access to fresh water & sanitation
OP2.1;Ensure that, by 2015, children everywhere, boys and girls alike, will be able to complete a full course of primary schooling ;OP2.1;OM2;Ensure that, by 2015, children everywhere, boys and girls alike, will be able to complete a full course of primary schooling ;Ensure that, by 2015, children everywhere, boys and girls alike, will be able to complete a full course of primary schooling ;Ensure that, by 2015, children everywhere, boys and girls alike, will be able to complete a full course of primary schooling 
OP2.2;Incentivise good schooling practises in schools;OP2.2;OM2;Incentivise good schooling practises in schools;Incentivise good schooling practises in schools;Incentivise good schooling practises in schools
OP2.3;Ensure the schools are well managed;OP2.3;OM2;Ensure the schools are well managed;Ensure the schools are well managed;Ensure the schools are well managed
OP3.1;Eliminate gender disparity in primary and secondary education preferably by 2005, and at all levels by 2015 ;OP3.1;OM3;Eliminate gender disparity in primary and secondary education preferably by 2005, and at all levels by 2015 ;Eliminate gender disparity in primary and secondary education preferably by 2005, and at all levels by 2015 ;Eliminate gender disparity in primary and secondary education preferably by 2005, and at all levels by 2015 
OP3.2;Promote access for women in leadership roles;OP3.2;OM3;Promote access for women in leadership roles;Promote access for women in leadership roles;Promote access for women in leadership roles
OP4.1;Reduce by two thirds the mortality rate among children under five ;OP4.1;OM4;Reduce by two thirds the mortality rate among children under five ;Reduce by two thirds the mortality rate among children under five ;Reduce by two thirds the mortality rate among children under five 
OP4.2;Increase the number of children immunised against common diseases;OP4.2;OM4;Increase  number of children immunisations;Increase the number of children immunised against common diseases;Increase the number of children immunised against common diseases
OP4.3;Reduce infant mortality rate;OP4.3;OM4;Reduce infant mortality rate;Reduce infant mortality rate;Reduce infant mortality rate
OP5.1;Reduce by three quarters the maternal mortality ratio ;OP5.1;OM5;Reduce by three quarters the maternal mortality ratio ;Reduce by three quarters the maternal mortality ratio ;Reduce by three quarters the maternal mortality ratio 
OP5.2;Achieve universal access to reproductive health & inadequate funding for family planning is a major failure in fulfilling commitments to improving women’s reproductive health ;OP5.2;OM5;Achieve universal access to reproductive health & inadequate funding for family planning is a major failure in fulfilling commitments to improving women’s reproductive health ;Achieve universal access to reproductive health & inadequate funding for family planning is a major failure in fulfilling commitments to improving women’s reproductive health ;Achieve universal access to reproductive health & inadequate funding for family planning is a major failure in fulfilling commitments to improving women’s reproductive health 
OP6.1;Halt and begin to reverse the spread of HIV/AIDS ;OP6.1;OM6;Halt and begin to reverse the spread of HIV/AIDS ;Halt and begin to reverse the spread of HIV/AIDS ;Halt and begin to reverse the spread of HIV/AIDS 
OP6.2;Achieve, by 2015, universal access to treatment for HIV/AIDS for all those who need it ;OP6.2;OM6;Achieve, by 2015, universal access to treatment for HIV/AIDS for all those who need it ;Achieve, by 2015, universal access to treatment for HIV/AIDS for all those who need it ;Achieve, by 2015, universal access to treatment for HIV/AIDS for all those who need it 
OP6.3;Halt the spread of Maleria;OP6.3;OM6;Halt the spread of Maleria by 2015;Halt the spread of Maleria by 2015;Halt the spread of Maleria by 2015
OP6.4;Increase Access to Immunization;OP6.4;OM6;Increase Access to Immunization;Children who are not immunized or who are malnourished are much more susceptible to the diseases that are spread through poor sanitation. Poverty exacerbates the effects of HIV/AIDS and armed conflict;Children who are not immunized or who are malnourished are much more susceptible to the diseases that are spread through poor sanitation. Poverty exacerbates the effects of HIV/AIDS and armed conflic
OP7.1;"Integrate the principles of sustainable development into country policies and programmes; reverse loss of environmental resources";OP7.1;OM7;"Integrate the principles of sustainable development into country policies and programmes; reverse loss of environmental resources";"Integrate the principles of sustainable development into country policies and programmes; reverse loss of environmental resources";"Integrate the principles of sustainable development into country policies and programmes; reverse loss of environmental resources"
OP7.2;Reduce biodiversity loss, achieving, by 2010, a significant reduction in the rate of loss;OP7.2;OM7;Reduce biodiversity loss, achieving, by 2010, a significant reduction in the rate of loss;Reduce biodiversity loss, achieving, by 2010, a significant reduction in the rate of loss;Reduce biodiversity loss, achieving, by 2010, a significant reduction in the rate of loss
OP7.3;Reduce by half the proportion of people without sustainable access to safe drinking water and basic sanitation ;OP7.3;OM7;Reduce by half the proportion of people without sustainable access to safe drinking water and basic sanitation ;Reduce by half the proportion of people without sustainable access to safe drinking water and basic sanitation ;Reduce by half the proportion of people without sustainable access to safe drinking water and basic sanitation 
OP7.4;Achieve significant improvement in lives of at least 100 million slum dwellers, by 2020 ;OP7.4;OM7;Achieve significant improvement in lives of at least 100 million slum dwellers, by 2020 ;Achieve significant improvement in lives of at least 100 million slum dwellers, by 2020 ;Achieve significant improvement in lives of at least 100 million slum dwellers, by 2020 
OP8.1;Deal comprehensively with the debt problems of developing countries;OP8.1;OM8;Deal comprehensively with the debt problems of developing countries;Deal comprehensively with the debt problems of developing countries;Deal comprehensively with the debt problems of developing countries
OP8.2;In cooperation with pharmaceutical companies, provide access to affordable essential drugs in developing countries ;OP8.2;OM8;In cooperation with pharmaceutical companies, provide access to affordable essential drugs in developing countries ;In cooperation with pharmaceutical companies, provide access to affordable essential drugs in developing countries ;In cooperation with pharmaceutical companies, provide access to affordable essential drugs in developing countries 
OP8.3;In cooperation with the private sector, make available the benefits of new technologies, especially information and communications ;OP8.3;OM8;In cooperation with the private sector, make available the benefits of new technologies, especially information and communications ;In cooperation with the private sector, make available the benefits of new technologies, especially information and communications ;In cooperation with the private sector, make available the benefits of new technologies, especially information and communications 
